name;coords;phone-number;rating;address;working-hours;category;place_id
Кафе;[49.112966, 55.781004];;4.4;ул. Татарстан, 22, Вахитовский район, Казань • офис 302, этаж 3;['Mo 10:00-19:00', 'Tu 10:00-19:00', 'We 10:00-19:00', 'Th 10:00-19:00', 'Fr 10:00-19:00', 'Sa 10:00-16:00'];кафе;69
IQ;[49.11586, 55.790068];+7 (843) 258-38-18;4.5;ул. Баумана, 60, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;70
Лафа Лаунж;[49.12225, 55.819697];+7 (843) 205-34-77;4.3;Чистопольская ул., 33В, Казань • этаж 2;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-02:00', 'Sa 11:00-02:00', 'Su 11:00-00:00'];кафе;71
Кварт;[49.195778, 55.750997];+7 (903) 306-36-17;4.0;ул. Гарифьянова, 12, Казань;['Mo 08:00-17:00', 'Tu 08:00-17:00', 'We 08:00-17:00', 'Th 08:00-17:00', 'Fr 08:00-17:00'];кафе;72
К чаю;[49.13834, 55.793766];;4.1;ул. Горького, 29/19, Казань • этаж 2;['Mo 07:00-20:00', 'Tu 07:00-20:00', 'We 07:00-20:00', 'Th 07:00-20:00', 'Fr 07:00-20:00', 'Sa 07:00-20:00', 'Su 07:00-20:00'];кафе;73
Стерлядка;[49.115841, 55.789379];+7 (987) 297-99-98;4.4;Астрономическая ул., 7, Казань • этаж 1;['Mo 11:00-00:00', 'Tu 11:00-00:00', 'We 11:00-00:00', 'Th 11:00-00:00', 'Fr 11:00-00:00', 'Sa 11:00-00:00', 'Su 11:00-00:00'];кафе;74
Кафе;[49.105282, 55.781373];;3.3;ул. Галиаскара Камала, 41, Казань;['Mo 10:00-16:00', 'Tu 10:00-16:00', 'We 10:00-16:00', 'Th 10:00-16:00', 'Fr 10:00-16:00', 'Sa 10:00-16:00', 'Su 10:00-16:00'];кафе;75
Мастер Пицца;[49.124002, 55.789487];;4.2;ул. Пушкина, 21А, Казань;['Mo 00:00-23:59', 'Tu 00:00-23:59', 'We 00:00-23:59', 'Th 00:00-23:59', 'Fr 00:00-23:59', 'Sa 00:00-23:59', 'Su 00:00-23:59'];кафе;76
Круиз;[49.093475, 55.806056];+7 (843) 555-11-31;4.1;Нижнезареченская дамба, 1, Казань;['Mo 12:00-00:00', 'Tu 12:00-00:00', 'We 12:00-00:00', 'Th 12:00-00:00', 'Fr 12:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-00:00'];кафе;77
Papa Greek;[49.156571, 55.785183];+7 (843) 216-30-26;4.1;Товарищеская ул., 25А, Казань;['Mo 09:00-22:00', 'Tu 09:00-22:00', 'We 09:00-22:00', 'Th 09:00-22:00', 'Fr 09:00-22:00', 'Sa 09:00-22:00', 'Su 09:00-22:00'];кафе;78
На Кремлёвской;[49.11298, 55.794887];+7 (960) 032-44-05;4.3;ул. Чернышевского, 3, Казань;['Mo 08:00-23:00', 'Tu 08:00-23:00', 'We 08:00-23:00', 'Th 08:00-23:00', 'Fr 08:00-23:00', 'Sa 08:00-23:00', 'Su 08:00-23:00'];кафе;79
В теме;[49.251339, 55.799188];+7 (906) 112-69-30;3.8;Мамадышский тракт, 44, Казань;['Mo 07:00-22:00', 'Tu 07:00-22:00', 'We 07:00-22:00', 'Th 07:00-22:00', 'Fr 07:00-22:00', 'Sa 08:00-20:00', 'Su 08:00-20:00'];кафе;80
Meat&Grill;[49.118596, 55.788723];+7 (843) 292-26-75;4.4;ул. Баумана, 74, Казань;['Mo 10:00-00:00', 'Tu 10:00-00:00', 'We 10:00-00:00', 'Th 10:00-00:00', 'Fr 10:00-00:00', 'Sa 10:00-00:00', 'Su 10:00-00:00'];кафе;81
